x;y;z;e;
93;98;10;7;
51;47;10;3;
10;33;10;3;
87;8;10;4;
9;93;10;6;
39;70;10;4;
99;95;10;8;
46;97;10;6;
71;74;10;7;
27;78;10;4;
31;73;10;8;
56;39;10;6;
46;83;10;3;
5;90;10;8;
61;19;10;5;
83;40;10;7;
82;50;10;4;
23;15;10;1;
90;44;10;8;
44;28;10;3;
8;75;10;1;
9;63;10;1;
97;61;10;9;
62;66;10;8;
90;11;10;1;
79;7;10;2;
71;48;10;1;
91;79;10;5;
25;62;10;5;
38;12;10;6;
31;42;10;2;
2;71;10;6;
35;50;10;7;
8;33;10;4;
38;71;10;4;
57;41;10;3;
87;4;10;9;
72;10;10;5;
35;60;10;1;
16;58;10;6;
60;63;10;6;
21;29;10;7;
56;9;10;6;
17;74;10;8;
8;25;10;1;
91;96;10;1;
1;46;10;6;
24;53;10;2;
81;18;10;7;
57;84;10;7;
38;100;10;1;
94;70;10;5;
27;59;10;7;
19;50;10;4;
79;28;10;2;
99;15;10;2;
47;11;10;9;
65;3;10;3;
34;79;10;3;
16;68;10;9;
90;97;10;5;
86;37;10;3;
63;57;10;2;
77;69;10;9;
62;96;10;7;
19;2;10;4;
4;21;10;7;
83;49;10;7;
54;92;10;1;
37;80;10;1;
27;11;10;7;
60;19;10;6;
64;72;10;5;
89;11;10;2;
96;48;10;2;
19;70;10;1;
83;22;10;2;
7;18;10;9;
6;82;10;1;
15;50;10;4;
89;44;10;6;
75;58;10;3;
27;43;10;6;
62;16;10;9;
42;32;10;8;
38;46;10;7;
82;80;10;3;
35;13;10;6;
81;78;10;4;
26;34;10;4;
26;64;10;1;
9;5;10;7;
58;61;10;1;
93;10;10;2;
100;85;10;9;
97;92;10;4;
81;16;10;9;
63;29;10;8;
60;12;10;3;
10;29;10;7;
