x;y;z;e;
28;36;10;4;
11;25;10;1;
79;45;10;7;
60;40;10;5;
64;28;10;1;
47;22;10;8;
5;20;10;5;
64;16;10;2;
89;47;10;6;
25;14;10;7;
81;15;10;8;
94;34;10;9;
88;40;10;9;
97;43;10;7;
75;15;10;3;
49;7;10;3;
51;12;10;2;
46;30;10;3;
50;39;10;7;
75;31;10;8;
72;9;10;3;
28;47;10;9;
76;24;10;8;
9;43;10;4;
93;28;10;8;
9;14;10;3;
29;28;10;9;
21;21;10;7;
73;45;10;1;
42;26;10;9;
71;33;10;7;
42;16;10;4;
54;25;10;3;
11;47;10;9;
63;33;10;5;
42;48;10;6;
8;39;10;9;
36;47;10;6;
83;3;10;3;
17;32;10;6;
43;6;10;6;
29;42;10;6;
2;6;10;8;
15;22;10;6;
92;19;10;1;
70;28;10;3;
38;29;10;4;
21;6;10;6;
14;5;10;9;
14;41;10;9;
29;11;10;6;
59;12;10;2;
42;39;10;6;
37;18;10;5;
64;47;10;8;
19;37;10;3;
56;37;10;9;
60;3;10;3;
85;7;10;3;
6;8;10;2;
63;7;10;7;
88;28;10;6;
69;3;10;7;
48;2;10;2;
94;10;10;8;
21;14;10;7;
2;12;10;8;
9;19;10;5;
32;35;10;7;
48;35;10;9;
24;10;10;2;
56;4;10;2;
9;29;10;8;
76;40;10;8;
58;45;10;4;
67;22;10;1;
50;44;10;6;
69;16;10;4;
44;43;10;4;
46;16;10;6;
51;20;10;8;
74;5;10;2;
92;15;10;5;
2;36;10;2;
25;41;10;5;
36;41;10;6;
41;33;10;7;
30;24;10;8;
29;17;10;9;
24;28;10;3;
53;48;10;1;
69;37;10;8;
87;12;10;9;
97;38;10;1;
58;24;10;9;
93;24;10;1;
21;33;10;5;
63;11;10;7;
65;2;10;1;
43;2;10;8;
